#node,mpa,id,comments,disable
"node142","brsa11","2",,
"node143","brsa11","3",,
"node144","brsa11","4",,
"node246","brsa03","7",,
"node328","brsa24","2",,
"node350","brsa25","10",,
"node385","brsa28","3",,
"ibmdemo","ibmdemo01",,,
"node145","brsa11","5",,
"node146","brsa11","6",,
"node147","brsa11","7",,
"node149","brsa11","9",,
"node152","brsa11","12",,
"node153","brsa11","13",,
"node154","brsa11","14",,
"node155","brsa12","1",,
"node157","brsa12","3",,
"node158","brsa12","4",,
"node160","brsa12","6",,
"node161","brsa12","7",,
"node164","brsa12","10",,
"node168","brsa12","14",,
"node183","brsa14","1",,
"node184","brsa14","2",,
"node186","brsa14","4",,
"node188","brsa14","6",,
"node189","brsa14","7",,
"node191","brsa14","9",,
"node195","brsa14","13",,
"node196","brsa14","14",,
"node201","brsa15","1",,
"node205","brsa15","5",,
"node208","brsa15","8",,
"node210","brsa15","10",,
"node213","brsa15","13",,
"node214","brsa15","14",,
"node151","brsa11","11",,
"node159","brsa12","5",,
"node190","brsa14","8",,
"node202","brsa15","2",,
"node207","brsa15","7",,
"node141","brsa11","1",,
"node165","brsa12","11",,
"node148","brsa11","8",,
"node150","brsa11","10",,
"node185","brsa14","3",,
"node187","brsa14","5",,
"node192","brsa14","10",,
"node194","brsa14","12",,
"node203","brsa15","3",,
"node204","brsa15","4",,
"node209","brsa15","9",,
"node231","brsa17","3",,
"node229","brsa17","1",,
"node232","brsa17","4",,
"node233","brsa17","5",,
"node234","brsa17","6",,
"node235","brsa17","7",,
"node238","brsa17","10",,
"node239","brsa17","11",,
"node240","brsa17","12",,
"node241","brsa17","13",,
"node242","brsa17","14",,
"node156","brsa12","2",,
"node166","brsa12","12",,
"node167","brsa12","13",,
"node236","brsa17","8",,
"node341","brsa25","1",,
"node342","brsa25","2",,
"node343","brsa25","3",,
"node344","brsa25","4",,
"node345","brsa25","5",,
"node346","brsa25","6",,
"node347","brsa25","7",,
"node348","brsa25","8",,
"node349","brsa25","9",,
"node351","brsa25","11",,
"node352","brsa25","12",,
"node353","brsa25","13",,
"node354","brsa25","14",,
"node397","brsa29","1",,
"node398","brsa29","2",,
"node399","brsa29","3",,
"node400","brsa29","4",,
"node401","brsa29","5",,
"node402","brsa29","6",,
"node403","brsa29","7",,
"node405","brsa29","9",,
"node406","brsa29","10",,
"node407","brsa29","11",,
"node408","brsa29","12",,
"node444","brsa32","6",,
"node449","brsa32","11",,
"node450","brsa32","12",,
"node451","brsa32","13",,
"node439","brsa32","1",,
"node440","brsa32","2",,
"node441","brsa32","3",,
"node443","brsa32","5",,
"node428","brsa31","4",,
"node429","brsa31","5",,
"node430","brsa31","6",,
"node434","brsa31","10",,
"node445","brsa32","7",,
"node447","brsa32","9",,
"node425","brsa31","1",,
"node426","brsa31","2",,
"node431","brsa31","7",,
"node438","brsa31","14",,
"node432","brsa31","8",,
"node446","brsa32","8",,
"node448","brsa32","10",,
"node453","brsa33","1",,
"node454","brsa33","2",,
"node455","brsa33","3",,
"node456","brsa33","4",,
"node457","brsa33","5",,
"node459","brsa33","7",,
"node460","brsa33","8",,
"node462","brsa33","10",,
"node463","brsa33","11",,
"node464","brsa33","12",,
"node465","brsa33","13",,
"node466","brsa33","14",,
"node427","brsa31","3",,
"node433","brsa31","9",,
"node435","brsa31","11",,
"node437","brsa31","13",,
"node442","brsa32","4",,
"node452","brsa32","14",,
"node458","brsa33","6",,
"node461","brsa33","9",,
"node404","brsa29","8",,
"node409","brsa29","13",,
"node372","brsa27","4",,
"node373","brsa27","5",,
"node374","brsa27","6",,
"node376","brsa27","8",,
"node378","brsa27","10",,
"node380","brsa27","12",,
"node379","brsa27","11",,
"node381","brsa27","13",,
