#node,rack,u,chassis,slot,room,comments,disable
"wolverine.broadinstitute.org",,"brsa50","6",,,,
"valtellina.broadinstitute.org",,"brsa50","8",,,,
"whitcomb",,"brsa50","12",,,,
"hyde",,"brsa50","13",,,,
"einhorn",,"brsa50","14",,,,
"frascati.broadinstitute.org",,"brsa50","16",,,,
"taffy",,"brsa57","3",,,,
"node1211.broad.mit.edu",,"brsa63","4",,,,
"node1214.broad.mit.edu",,"brsa63","7",,,,
"node1215.broad.mit.edu",,"brsa63","8",,,,
"node1216.broad.mit.edu",,"brsa63","9",,,,
"-node1224",,"brsa64","1",,,,
"-node1225",,"brsa64","2",,,,
"Parsons",,"brsa64","4",,,,
"calahan",,"brsa64","9",,,,
"crunky",,"brsa64","10",,,,
"lollipop",,"brsa64","11",,,,
"reeses",,"brsa64","12",,,,
"node1015.broad.mit.edu",,"brsa74","2",,,,
"sable.broadinstitute.org",,"brsa74","4",,,,
