#imagename,profile,imagetype,provmethod,osname,osvers,osdistro,osarch,synclists,comments,disable
"rhels5.4-x86_64-install-compute","compute","linux","install","Linux","rhels5.4",,"x86_64",,,
"rhels5.4-x86_64-install-xen","xen","linux","install","Linux","rhels5.4",,"x86_64",,,
"rhels5.4-x86_64-install-kvm","kvm","linux","install","Linux","rhels5.4",,"x86_64",,,
"rhels5.4-x86_64-install-storage","storage","linux","install","Linux","rhels5.4",,"x86_64",,,
"rhels5.4-x86_64-install-service","service","linux","install","Linux","rhels5.4",,"x86_64",,,
"rhels5.4-x86_64-install-iscsi","iscsi","linux","install","Linux","rhels5.4",,"x86_64",,,
"centos5-x86_64-install-compute","compute","linux","install","Linux","centos5",,"x86_64",,,
"centos5-x86_64-install-xen","xen","linux","install","Linux","centos5",,"x86_64",,,
"centos5-x86_64-install-storage","storage","linux","install","Linux","centos5",,"x86_64",,,
"centos5-x86_64-install-all","all","linux","install","Linux","centos5",,"x86_64",,,
"centos5-x86_64-install-iscsi","iscsi","linux","install","Linux","centos5",,"x86_64",,,
"centos5.4-x86_64-install-compute","compute","linux","install","Linux","centos5.4",,"x86_64",,,
"centos5.4-x86_64-install-xen","xen","linux","install","Linux","centos5.4",,"x86_64",,,
"centos5.4-x86_64-install-storage","storage","linux","install","Linux","centos5.4",,"x86_64",,,
"centos5.4-x86_64-install-all","all","linux","install","Linux","centos5.4",,"x86_64",,,
"centos5.4-x86_64-install-iscsi","iscsi","linux","install","Linux","centos5.4",,"x86_64",,,
"rhel5.4.oel-x86_64-install-compute","compute","linux","install","Linux","rhel5.4.oel",,"x86_64",,,
"rhel5.4.oel-x86_64-install-xen","xen","linux","install","Linux","rhel5.4.oel",,"x86_64",,,
"rhel5.4.oel-x86_64-install-kvm","kvm","linux","install","Linux","rhel5.4.oel",,"x86_64",,,
"rhel5.4.oel-x86_64-install-storage","storage","linux","install","Linux","rhel5.4.oel",,"x86_64",,,
"rhel5.4.oel-x86_64-install-service","service","linux","install","Linux","rhel5.4.oel",,"x86_64",,,
"rhel5.4.oel-x86_64-install-iscsi","iscsi","linux","install","Linux","rhel5.4.oel",,"x86_64",,,
